                                             A ZAMS Stellar Model
                                             --------------------

                                             M    = 5.0 solar
                                             L    = 5.0 solar
                                             R    = 1.5229012075065982 solar
                                             Teff = 7000.0 K    
                                             X    = 0.3
                                             Y    = 0.19999999999999996
                                             Z    = 0.5



 zone      r               tau          1-M_r/Ms         L_r              T              P              rho             kap            eps        dlnPdlnT
0        1,059E9        0E0        0E0        1,919E27                0E0        0E0        0E0        0E0        0E0        r  99.9
78        9,776E8        1,466E9        1,841E-4        1,919E27        1,317E6        1,006E11        9,188E0        8,533E0        6,927E-15        r  4,606E0
79        9,766E8        1,551E9        1,962E-4        1,919E27        1,336E6        1,076E11        9,682E0        8,458E0        8,391E-15        r  4,606E0
80        9,755E8        1,639E9        2,088E-4        1,919E27        1,356E6        1,149E11        1,02E1        8,385E0        1,013E-14        r  4,606E0
81        9,745E8        1,732E9        2,221E-4        1,919E27        1,375E6        1,227E11        1,073E1        8,313E0        1,22E-14        r  4,606E0
82        9,734E8        1,828E9        2,361E-4        1,919E27        1,395E6        1,308E11        1,129E1        8,242E0        1,465E-14        r  4,606E0
83        9,723E8        1,929E9        2,507E-4        1,919E27        1,414E6        1,394E11        1,187E1        8,173E0        1,755E-14        r  4,606E0
84        9,713E8        2,034E9        2,66E-4        1,919E27        1,433E6        1,485E11        1,247E1        8,106E0        2,095E-14        r  4,606E0
85        9,702E8        2,143E9        2,821E-4        1,919E27        1,453E6        1,581E11        1,309E1        8,039E0        2,496E-14        r  4,606E0
86        9,692E8        2,257E9        2,99E-4        1,919E27        1,472E6        1,681E11        1,374E1        7,974E0        2,965E-14        r  4,606E0
87        9,681E8        2,375E9        3,166E-4        1,919E27        1,492E6        1,787E11        1,441E1        7,91E0        3,514E-14        r  4,606E0
88        9,67E8        2,499E9        3,351E-4        1,919E27        1,512E6        1,898E11        1,511E1        7,848E0        4,154E-14        r  4,606E0
89        9,66E8        2,627E9        3,544E-4        1,919E27        1,531E6        2,014E11        1,583E1        7,786E0        4,9E-14        r  4,606E0
90        9,649E8        2,76E9        3,745E-4        1,919E27        1,551E6        2,137E11        1,658E1        7,726E0        5,766E-14        r  4,606E0
91        9,639E8        2,898E9        3,956E-4        1,919E27        1,571E6        2,265E11        1,736E1        7,666E0        6,77E-14        r  4,606E0
92        9,628E8        3,042E9        4,176E-4        1,919E27        1,591E6        2,4E11        1,816E1        7,608E0        7,932E-14        r  4,606E0
93        9,617E8        3,191E9        4,406E-4        1,919E27        1,611E6        2,541E11        1,899E1        7,551E0        9,274E-14        r  4,606E0
94        9,607E8        3,346E9        4,646E-4        1,919E27        1,631E6        2,689E11        1,986E1        7,495E0        1,082E-13        r  4,606E0
95        9,596E8        3,506E9        4,896E-4        1,919E27        1,65E6        2,844E11        2,075E1        7,439E0        1,26E-13        r  4,606E0
96        9,586E8        3,673E9        5,156E-4        1,919E27        1,67E6        3,006E11        2,167E1        7,385E0        1,464E-13        r  4,606E0
97        9,575E8        3,845E9        5,428E-4        1,919E27        1,691E6        3,176E11        2,262E1        7,332E0        1,698E-13        r  4,606E0
98        9,564E8        4,024E9        5,711E-4        1,919E27        1,711E6        3,354E11        2,361E1        7,279E0        1,966E-13        r  4,606E0
99        9,554E8        4,209E9        6,005E-4        1,919E27        1,731E6        3,539E11        2,463E1        7,228E0        2,273E-13        r  4,606E0
100        9,543E8        4,401E9        6,311E-4        1,919E27        1,751E6        3,734E11        2,568E1        7,177E0        2,622E-13        r  4,606E0
101        9,533E8        4,6E9        6,63E-4        1,919E27        1,771E6        3,936E11        2,677E1        7,127E0        3,019E-13        r  4,606E0
102        9,522E8        4,806E9        6,962E-4        1,919E27        1,791E6        4,148E11        2,789E1        7,078E0        3,471E-13        r  4,606E0
103        9,512E8        5,018E9        7,306E-4        1,919E27        1,812E6        4,369E11        2,905E1        7,029E0        3,984E-13        r  4,606E0
104        9,501E8        5,238E9        7,664E-4        1,919E27        1,832E6        4,6E11        3,025E1        6,981E0        4,565E-13        r  4,606E0
105        9,49E8        5,466E9        8,036E-4        1,919E27        1,853E6        4,841E11        3,148E1        6,935E0        5,223E-13        r  4,605E0
106        9,48E8        5,701E9        8,421E-4        1,919E27        1,873E6        5,092E11        3,276E1        6,888E0        5,966E-13        r  4,605E0
107        9,469E8        5,944E9        8,822E-4        1,919E27        1,894E6        5,354E11        3,407E1        6,843E0        6,805E-13        r  4,605E0
108        9,459E8        6,195E9        9,238E-4        1,919E27        1,914E6        5,627E11        3,542E1        6,798E0        7,751E-13        r  4,605E0
109        9,448E8        6,454E9        9,669E-4        1,919E27        1,935E6        5,912E11        3,682E1        6,754E0        8,814E-13        r  4,605E0
110        9,437E8        6,722E9        1,012E-3        1,919E27        1,955E6        6,208E11        3,825E1        6,71E0        1,001E-12        r  4,605E0
111        9,427E8        6,998E9        1,058E-3        1,919E27        1,976E6        6,516E11        3,974E1        6,668E0        1,135E-12        r  4,605E0
112        9,416E8        7,283E9        1,106E-3        1,919E27        1,997E6        6,837E11        4,126E1        6,625E0        1,286E-12        r  4,605E0
113        9,406E8        7,577E9        1,156E-3        1,919E27        2,017E6        7,171E11        4,283E1        6,584E0        1,454E-12        r  4,605E0
114        9,395E8        7,88E9        1,207E-3        1,919E27        2,038E6        7,518E11        4,445E1        6,543E0        1,643E-12        r  4,605E0
115        9,384E8        8,193E9        1,261E-3        1,919E27        2,059E6        7,88E11        4,612E1        6,502E0        1,853E-12        r  4,605E0
116        9,374E8        8,516E9        1,316E-3        1,919E27        2,08E6        8,255E11        4,783E1        6,462E0        2,088E-12        r  4,605E0
117        9,363E8        8,848E9        1,373E-3        1,919E27        2,101E6        8,645E11        4,959E1        6,423E0        2,35E-12        r  4,605E0
118        9,353E8        9,191E9        1,432E-3        1,919E27        2,122E6        9,051E11        5,141E1        6,384E0        2,641E-12        r  4,605E0
119        9,342E8        9,543E9        1,493E-3        1,919E27        2,143E6        9,472E11        5,327E1        6,346E0        2,965E-12        r  4,605E0
120        9,331E8        9,907E9        1,556E-3        1,919E27        2,164E6        9,91E11        5,519E1        6,308E0        3,325E-12        r  4,605E0
121        9,321E8        1,028E10        1,621E-3        1,919E27        2,185E6        1,036E12        5,716E1        6,271E0        3,724E-12        r  4,604E0
122        9,31E8        1,067E10        1,689E-3        1,919E27        2,207E6        1,084E12        5,919E1        6,234E0        4,167E-12        r  4,604E0
123        9,3E8        1,106E10        1,758E-3        1,919E27        2,228E6        1,132E12        6,127E1        6,197E0        4,657E-12        r  4,604E0
124        9,289E8        1,147E10        1,83E-3        1,919E27        2,249E6        1,183E12        6,341E1        6,161E0        5,199E-12        r  4,604E0
125        9,279E8        1,189E10        1,905E-3        1,919E27        2,271E6        1,236E12        6,561E1        6,126E0        5,798E-12        r  4,604E0
126        9,268E8        1,232E10        1,981E-3        1,919E27        2,292E6        1,29E12        6,787E1        6,091E0        6,46E-12        r  4,604E0
127        9,257E8        1,277E10        2,06E-3        1,919E27        2,313E6        1,347E12        7,019E1        6,057E0        7,19E-12        r  4,604E0
128        9,247E8        1,322E10        2,142E-3        1,919E27        2,335E6        1,405E12        7,257E1        6,023E0        7,994E-12        r  4,604E0
129        9,236E8        1,369E10        2,226E-3        1,919E27        2,356E6        1,466E12        7,502E1        5,989E0        8,88E-12        r  4,604E0
130        9,226E8        1,417E10        2,313E-3        1,919E27        2,378E6        1,529E12        7,753E1        5,956E0        9,855E-12        r  4,603E0
131        9,215E8        1,467E10        2,402E-3        1,919E27        2,4E6        1,594E12        8,01E1        5,923E0        1,093E-11        r  4,603E0
132        9,204E8        1,518E10        2,495E-3        1,919E27        2,421E6        1,662E12        8,275E1        5,89E0        1,21E-11        r  4,603E0
133        9,194E8        1,57E10        2,59E-3        1,919E27        2,443E6        1,731E12        8,546E1        5,858E0        1,339E-11        r  4,603E0
134        9,183E8        1,624E10        2,688E-3        1,919E27        2,465E6        1,804E12        8,824E1        5,827E0        1,481E-11        r  4,603E0
135        9,173E8        1,679E10        2,789E-3        1,919E27        2,487E6        1,878E12        9,109E1        5,795E0        1,636E-11        r  4,603E0
136        9,162E8        1,736E10        2,892E-3        1,919E27        2,509E6        1,956E12        9,402E1        5,764E0        1,806E-11        r  4,603E0
137        9,151E8        1,794E10        2,999E-3        1,919E27        2,531E6        2,036E12        9,702E1        5,734E0        1,991E-11        r  4,602E0
138        9,141E8        1,854E10        3,11E-3        1,919E27        2,553E6        2,119E12        1,001E2        5,703E0        2,194E-11        r  4,602E0
139        9,13E8        1,915E10        3,223E-3        1,919E27        2,575E6        2,204E12        1,032E2        5,673E0        2,416E-11        r  4,602E0
140        9,12E8        1,978E10        3,34E-3        1,919E27        2,597E6        2,292E12        1,065E2        5,644E0        2,658E-11        r  4,602E0
141        9,109E8        2,042E10        3,459E-3        1,919E27        2,619E6        2,384E12        1,098E2        5,615E0        2,922E-11        r  4,602E0
142        9,098E8        2,108E10        3,583E-3        1,919E27        2,641E6        2,478E12        1,132E2        5,586E0        3,209E-11        r  4,602E0
143        9,088E8        2,176E10        3,71E-3        1,919E27        2,663E6        2,576E12        1,167E2        5,557E0        3,522E-11        r  4,601E0
144        9,077E8        2,246E10        3,84E-3        1,919E27        2,686E6        2,676E12        1,202E2        5,529E0        3,863E-11        r  4,601E0
145        9,067E8        2,317E10        3,974E-3        1,919E27        2,708E6        2,781E12        1,239E2        5,501E0        4,234E-11        r  4,601E0
146        9,056E8        2,39E10        4,112E-3        1,919E27        2,73E6        2,888E12        1,276E2        5,473E0        4,636E-11        r  4,601E0
147        9,045E8        2,465E10        4,254E-3        1,919E27        2,753E6        2,999E12        1,314E2        5,446E0        5,074E-11        r  4,601E0
148        9,035E8        2,542E10        4,4E-3        1,919E27        2,775E6        3,113E12        1,353E2        5,419E0        5,548E-11        r  4,6E0
149        9,024E8        2,62E10        4,549E-3        1,919E27        2,798E6        3,231E12        1,393E2        5,392E0        6,063E-11        r  4,6E0
150        9,014E8        2,701E10        4,703E-3        1,919E27        2,82E6        3,353E12        1,434E2        5,365E0        6,621E-11        r  4,6E0
151        9,003E8        2,783E10        4,86E-3        1,919E27        2,843E6        3,479E12        1,476E2        5,339E0        7,226E-11        r  4,6E0
152        8,993E8        2,868E10        5,022E-3        1,919E27        2,866E6        3,608E12        1,519E2        5,313E0        7,88E-11        r  4,599E0
153        8,982E8        2,954E10        5,189E-3        1,919E27        2,889E6        3,742E12        1,563E2        5,287E0        8,588E-11        r  4,599E0
154        8,971E8        3,043E10        5,359E-3        1,919E27        2,911E6        3,88E12        1,608E2        5,262E0        9,354E-11        r  4,599E0
155        8,961E8        3,134E10        5,534E-3        1,919E27        2,934E6        4,022E12        1,654E2        5,237E0        1,018E-10        r  4,599E0
156        8,95E8        3,226E10        5,714E-3        1,919E27        2,957E6        4,169E12        1,701E2        5,212E0        1,107E-10        r  4,598E0
157        8,94E8        3,321E10        5,898E-3        1,919E27        2,98E6        4,319E12        1,749E2        5,187E0        1,204E-10        r  4,598E0
158        8,929E8        3,419E10        6,087E-3        1,919E27        3,003E6        4,475E12        1,798E2        5,163E0        1,308E-10        r  4,598E0
159        8,918E8        3,518E10        6,281E-3        1,919E27        3,026E6        4,635E12        1,848E2        5,138E0        1,42E-10        r  4,598E0
160        8,908E8        3,62E10        6,48E-3        1,919E27        3,049E6        4,8E12        1,9E2        5,114E0        1,541E-10        r  4,597E0
161        8,897E8        3,724E10        6,684E-3        1,919E27        3,072E6        4,97E12        1,952E2        5,091E0        1,671E-10        r  4,597E0
162        8,887E8        3,83E10        6,893E-3        1,919E27        3,096E6        5,145E12        2,006E2        5,067E0        1,812E-10        r  4,597E0
163        8,876E8        3,939E10        7,107E-3        1,919E27        3,119E6        5,326E12        2,06E2        5,044E0        1,962E-10        r  4,596E0
164        8,865E8        4,051E10        7,326E-3        1,919E27        3,142E6        5,511E12        2,116E2        5,021E0        2,125E-10        r  4,596E0
165        8,855E8        4,164E10        7,551E-3        1,919E27        3,166E6        5,702E12        2,174E2        4,998E0        2,299E-10        r  4,596E0
166        8,844E8        4,281E10        7,782E-3        1,919E27        3,189E6        5,899E12        2,232E2        4,975E0        2,486E-10        r  4,595E0
167        8,834E8        4,4E10        8,018E-3        1,919E27        3,213E6        6,101E12        2,292E2        4,953E0        2,687E-10        r  4,595E0
168        8,823E8        4,521E10        8,26E-3        1,919E27        3,236E6        6,309E12        2,353E2        4,93E0        2,903E-10        r  4,595E0
169        8,812E8        4,645E10        8,507E-3        1,919E27        3,26E6        6,524E12        2,415E2        4,908E0        3,135E-10        r  4,594E0
170        8,802E8        4,772E10        8,761E-3        1,919E27        3,283E6        6,744E12        2,479E2        4,886E0        3,383E-10        r  4,594E0
171        8,791E8        4,902E10        9,02E-3        1,919E27        3,307E6        6,97E12        2,544E2        4,865E0        3,649E-10        r  4,593E0
172        8,781E8        5,034E10        9,286E-3        1,919E27        3,331E6        7,203E12        2,61E2        4,843E0        3,934E-10        r  4,593E0
173        8,77E8        5,17E10        9,558E-3        1,919E27        3,355E6        7,443E12        2,678E2        4,822E0        4,239E-10        r  4,593E0
174        8,76E8        5,308E10        9,836E-3        1,919E27        3,379E6        7,689E12        2,747E2        4,801E0        4,566E-10        r  4,592E0
175        8,749E8        5,449E10        1,012E-2        1,919E27        3,402E6        7,942E12        2,817E2        4,78E0        4,915E-10        r  4,592E0
176        8,643E8        7,04E10        1,33E-2        1,919E27        3,649E6        1,095E13        3,623E2        4,577E0        1,014E-9        r  4,554E0
177        8,537E8        8,989E10        1,725E-2        1,919E27        3,901E6        1,488E13        4,604E2        4,39E0        2,004E-9        r  4,551E0
178        8,431E8        1,135E11        2,213E-2        1,919E27        4,159E6        1,994E13        5,79E2        4,216E0        3,805E-9        r  4,547E0
179        8,325E8        1,419E11        2,808E-2        1,919E27        4,423E6        2,641E13        7,211E2        4,054E0        6,978E-9        r  4,541E0
180        8,219E8        1,758E11        3,527E-2        1,919E27        4,692E6        3,457E13        8,9E2        3,903E0        1,24E-8        r  4,533E0
181        8,113E8        2,159E11        4,388E-2        1,919E27        4,967E6        4,479E13        1,089E3        3,76E0        2,139E-8        r  4,523E0
182        8,007E8        2,63E11        5,41E-2        1,919E27        5,247E6        5,745E13        1,323E3        3,625E0        3,592E-8        r  4,511E0
183        7,902E8        3,179E11        6,614E-2        1,919E27        5,533E6        7,299E13        1,594E3        3,497E0        5,886E-8        r  4,495E0
184        7,796E8        3,815E11        8,02E-2        1,919E27        5,824E6        9,19E13        1,907E3        3,374E0        9,421E-8        r  4,476E0
185        7,69E8        4,546E11        9,65E-2        1,919E27        6,12E6        1,147E14        2,265E3        3,257E0        1,475E-7        r  4,454E0
186        7,584E8        5,381E11        1,153E-1        1,919E27        6,42E6        1,419E14        2,67E3        3,144E0        2,262E-7        r  4,427E0
187        7,478E8        6,329E11        1,367E-1        1,919E27        6,724E6        1,74E14        3,127E3        3,035E0        3,4E-7        r  4,395E0
188        7,372E8        7,395E11        1,61E-1        1,919E27        7,031E6        2,115E14        3,636E3        2,929E0        5,012E-7        r  4,357E0
189        7,266E8        8,588E11        1,884E-1        1,919E27        7,341E6        2,55E14        4,197E3        2,826E0        7,251E-7        r  4,313E0
190        7,16E8        9,91E11        2,189E-1        1,919E27        7,654E6        3,046E14        4,81E3        2,726E0        1,03E-6        r  4,262E0
191        7,054E8        1,137E12        2,527E-1        1,918E27        7,967E6        3,606E14        5,471E3        2,627E0        1,436E-6        r  4,202E0
192        6,948E8        1,295E12        2,899E-1        1,918E27        8,28E6        4,23E14        6,175E3        2,53E0        1,968E-6        r  4,131E0
193        6,842E8        1,467E12        3,305E-1        1,917E27        8,592E6        4,914E14        6,914E3        2,434E0        2,648E-6        r  4,05E0
194        6,736E8        1,652E12        3,743E-1        1,915E27        8,901E6        5,654E14        7,678E3        2,34E0        3,5E-6        r  3,955E0
195        6,631E8        1,847E12        4,212E-1        1,914E27        9,207E6        6,439E14        8,453E3        2,247E0        4,546E-6        r  3,844E0
196        6,525E8        2,053E12        4,71E-1        1,911E27        9,507E6        7,256E14        9,225E3        2,154E0        5,802E-6        r  3,716E0
197        6,419E8        2,267E12        5,233E-1        1,908E27        9,801E6        8,088E14        9,974E3        2,063E0        7,275E-6        r  3,565E0
198        6,313E8        2,488E12        5,778E-1        1,903E27        1,009E7        8,916E14        1,068E4        1,972E0        8,964E-6        r  3,389E0
199        6,207E8        2,712E12        6,339E-1        1,898E27        1,036E7        9,716E14        1,133E4        1,882E0        1,086E-5        r  3,181E0
200        6,101E8        2,938E12        6,911E-1        1,891E27        1,063E7        1,046E15        1,19E4        1,793E0        1,292E-5        r  2,936E0
201        5,995E8        3,163E12        7,488E-1        1,883E27        1,088E7        1,114E15        1,237E4        1,704E0        1,512E-5        r  2,646E0
